-99,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20
43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,54,51,49,47
42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,54,52,50,48,46
41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,54,52,50,48,46,44
40,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,54,52,51,49,47,44,43
39,-1,-1,-1,-1,-1,-1,-1,-1,56,54,53,41,49,47,45,43,41
38,-1,-1,-1,-1,-1,-1,57,56,54,52,51,49,47,46,43,42,40
37,-1,-1,-1,-1,58,57,55,53,51,50,49,47,45,43,42,40,-1
36,-1,-1,58,57,56,54,53,51,50,48,47,45,43,42,40,38,-1
35,-1,58,57,56,54,52,51,49,48,47,45,43,42,41,38,37,-1
34,58,57,55,53,52,51,49,48,47,45,43,42,41,39,37,36,-1
33,55,54,52,51,50,48,47,46,44,43,42,40,38,37,36,34,-1
32,52,51,50,49,47,46,45,43,42,41,39,38,37,36,34,33,-1
31,50,49,48,46,45,44,43,41,40,39,38,36,35,34,33,31,-1
30,48,47,46,44,43,42,41,40,38,37,36,35,34,33,31,31,-1
29,46,45,44,43,42,41,39,38,37,36,34,33,32,31,30,-1,-1
28,43,42,41,41,39,38,37,36,35,34,33,32,31,29,28,-1,-1
27,41,40,39,38,37,36,35,34,33,32,31,30,29,28,28,-1,-1
26,39,38,37,36,35,34,33,32,31,31,29,28,28,27,-1,-1,-1
25,37,36,35,34,33,33,32,31,30,29,28,27,27,26,-1,-1,-1
24,35,34,33,33,32,31,30,29,28,28,27,26,26,25,-1,-1,-1
23,33,32,32,31,30,29,28,27,27,26,25,24,23,-1,-1,-1,-1
22,31,29,29,28,28,27,26,26,24,24,23,23,-1,-1,-1,-1,-1
21,29,29,28,27,27,26,26,24,24,23,23,22,-1,-1,-1,-1,-1
20,27,27,26,25,25,24,24,22,22,21,21,20,19,18,18,17,17
19,26,25,24,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,22,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
